FileType : Sound Exposure Level
FileVersion : 5
SourceKernel : 2.0
Routine : Parabolic
SEL_window_length(ms) : 10500
Azimuth_beg : 270
Azimuth_end : 270
Azimuth_inc : 40
Range_beg : 100
Range_end : 50000
Range_inc : 100
Depth_beg : 20
Depth_end : 1000
Depth_inc : 20
Filter_bool : 0
Coordinate_system : Cylindrical
Sea_WaterAttn : None
Notional_name : 4135H__080_2100_080

Azimuth:deg  Range:m  Depth:m  SEL:dB re 1uPa^2 s  
270          1100     380      164.533             
270          1100     400      164.159             
270          1100     420      163.751             
270          1100     440      163.68              
270          1100     460      163.658             
270          1100     480      163.553             
270          1100     500      163.648             
270          1100     520      163.704             
270          1100     540      163.514             
270          1100     560      163.425             
270          1100     580      163.363             
270          1100     600      163.545             
270          1100     620      163.926             
270          1100     640      163.945             
270          1100     660      164.055             
270          1100     680      163.96              
270          1100     700      164.045             
270          1100     720      164.697             
270          1100     740      164.45              
270          1100     760      164.618             
270          1100     780      163.649             
270          1100     800      164.152             
270          1100     820      164.597             
270          1100     840      164.632             
270          1100     860      164.787             
270          1100     880      164.747             
270          1100     900      164.781             
270          1100     920      164.779             
270          1100     940      164.879             
270          1100     960      164.786             
270          1100     980      164.775             
270          1100     1000     164.836             
270          1200     20       153.951             
270          1200     40       156.57              
270          1200     60       158.416             
270          1200     80       159.643             
270          1200     100      160.836             
270          1200     120      161.562             
270          1200     140      161.638             
270          1200     160      162.277             
270          1200     180      162.625             
270          1200     200      162.622             
270          1200     220      163.248             
270          1200     240      163.224             
270          1200     260      163.724             
270          1200     280      163.646             
270          1200     300      163.957             
270          1200     320      163.959             
270          1200     340      163.885             
270          1200     360      163.968             
270          1200     380      163.798             
270          1200     400      163.825             
270          1200     420      163.787             
270          1200     440      163.573             
270          1200     460      163.331             
270          1200     480      163.057             
270          1200     500      162.941             
270          1200     520      162.668             
270          1200     540      162.721             
270          1200     560      162.836             
270          1200     580      162.835             
270          1200     600      162.639             
270          1200     620      162.655             
270          1200     640      162.737             
270          1200     660      162.631             
270          1200     680      163.224             
270          1200     700      163.075             
270          1200     720      163.545             
270          1200     740      162.845             
270          1200     760      163.516             
270          1200     780      163.673             
270          1200     800      163.735             
270          1200     820      163.903             
270          1200     840      163.794             
270          1200     860      163.939             
270          1200     880      164.063             
270          1200     900      163.954             
270          1200     920      163.764             
270          1200     940      163.578             
270          1200     960      163.514             
270          1200     980      163.736             
270          1200     1000     163.956             
270          1300     20       153.21              
270          1300     40       155.519             
270          1300     60       157.613             
270          1300     80       158.551             
270          1300     100      159.484             
270          1300     120      160.199             
270          1300     140      160.511             
270          1300     160      160.76              
270          1300     180      161.375             
270          1300     200      161.648             
270          1300     220      162.169             
270          1300     240      162.485             
270          1300     260      162.784             
270          1300     280      162.865             
270          1300     300      163.055             
270          1300     320      163.147             
270          1300     340      163.159             
270          1300     360      163.369             
270          1300     380      163.207             
270          1300     400      163.169             
270          1300     420      163.403             
270          1300     440      163.019             
270          1300     460      162.838             
270          1300     480      162.753             
270          1300     500      162.761             
270          1300     520      162.709             
270          1300     540      162.601             
270          1300     560      162.438             
270          1300     580      162.088             
270          1300     600      162.125             
270          1300     620      161.878             
270          1300     640      162.177             
270          1300     660      161.979             
270          1300     680      162.405             
270          1300     700      161.457             
270          1300     720      161.926             
270          1300     740      162.006             
270          1300     760      162.227             
270          1300     780      162.579             
270          1300     800      162.739             
270          1300     820      162.887             
270          1300     840      162.832             
270          1300     860      162.742             
270          1300     880      163.054             
270          1300     900      163.32              
270          1300     920      163.339             
270          1300     940      163.447             
270          1300     960      163.345             
270          1300     980      163.193             
270          1300     1000     163.261             
270          1400     20       152.889             
270          1400     40       154.873             
270          1400     60       157.103             
270          1400     80       157.789             
270          1400     100      158.072             
270          1400     120      158.803             
270          1400     140      159.398             
270          1400     160      159.927             
270          1400     180      160.299             
270          1400     200      160.613             
270          1400     220      161.144             
270          1400     240      161.409             
270          1400     260      161.62              
270          1400     280      162.032             
270          1400     300      162.105             
270          1400     320      162.531             
270          1400     340      162.647             
270          1400     360      162.507             
270          1400     380      162.747             
270          1400     400      162.529             
270          1400     420      162.701             
270          1400     440      162.596             
270          1400     460      162.404             
270          1400     480      162.541             
270          1400     500      162.408             
270          1400     520      162.232             
270          1400     540      161.937             
270          1400     560      161.76              
270          1400     580      161.71              
270          1400     600      161.852             
270          1400     620      161.813             
270          1400     640      162.273             
270          1400     660      161.221             
270          1400     680      161.483             
270          1400     700      161.615             
270          1400     720      161.474             
270          1400     740      161.655             
270          1400     760      161.466             
270          1400     780      161.382             
270          1400     800      161.464             
270          1400     820      161.603             
270          1400     840      161.806             
270          1400     860      161.969             
270          1400     880      162.017             
270          1400     900      162.144             
270          1400     920      162.19              
270          1400     940      162.315             
270          1400     960      162.479             
270          1400     980      162.544             
270          1400     1000     162.73              
270          1500     20       150.922             
270          1500     40       153.098             
270          1500     60       155.092             
270          1500     80       156.529             
270          1500     100      157.437             
270          1500     120      158.249             
270          1500     140      158.581             
270          1500     160      159.002             
270          1500     180      158.806             
270          1500     200      159.659             
270          1500     220      160.332             
270          1500     240      160.098             
270          1500     260      161.115             
270          1500     280      160.854             
270          1500     300      161.596             
270          1500     320      161.469             
270          1500     340      161.849             
270          1500     360      161.779             
270          1500     380      161.984             
270          1500     400      162.026             
270          1500     420      162.262             
270          1500     440      162.01              
270          1500     460      162.178             
270          1500     480      162.184             
270          1500     500      161.904             
270          1500     520      161.606             
270          1500     540      161.942             
270          1500     560      161.561             
270          1500     580      161.407             
270          1500     600      161.738             
270          1500     620      160.969             
270          1500     640      160.929             
270          1500     660      161.155             
270          1500     680      160.976             
270          1500     700      161.174             
270          1500     720      161.071             
270          1500     740      161.1               
270          1500     760      161.017             
270          1500     780      160.907             
270          1500     800      160.985             
270          1500     820      161.058             
270          1500     840      161.103             
270          1500     860      161.182             
270          1500     880      161.234             
270          1500     900      161.116             
270          1500     920      161.049             
270          1500     940      161.34              
270          1500     960      161.689             
270          1500     980      161.597             
270          1500     1000     161.869             
270          1600     20       150.9               
270          1600     40       153.613             
270          1600     60       155.622             
270          1600     80       156.341             
270          1600     100      156.383             
270          1600     120      156.75              
270          1600     140      157.422             
270          1600     160      157.782             
270          1600     180      157.818             
270          1600     200      159.071             
270          1600     220      158.739             
270          1600     240      159.795             
270          1600     260      159.867             
270          1600     280      160.393             
270          1600     300      160.354             
270          1600     320      160.898             
270          1600     340      160.869             
270          1600     360      161.209             
270          1600     380      161.328             
270          1600     400      161.452             
270          1600     420      161.663             
270          1600     440      161.232             
270          1600     460      161.563             
270          1600     480      161.541             
270          1600     500      161.405             
270          1600     520      161.613             
270          1600     540      161.706             
270          1600     560      161.319             
270          1600     580      161.341             
270          1600     600      161.106             
270          1600     620      160.817             
270          1600     640      160.639             
270          1600     660      160.855             
270          1600     680      160.729             
270          1600     700      160.753             
270          1600     720      160.54              
270          1600     740      160.415             
270          1600     760      160.5               
270          1600     780      160.322             
270          1600     800      160.521             
270          1600     820      160.613             
270          1600     840      160.363             
270          1600     860      160.344             
270          1600     880      160.366             
270          1600     900      160.505             
270          1600     920      160.821             
270          1600     940      160.97              
270          1600     960      161.189             
270          1600     980      160.827             
270          1600     1000     160.787             
270          1700     20       150.378             
270          1700     40       152.906             
270          1700     60       154.561             
270          1700     80       154.901             
270          1700     100      155.261             
270          1700     120      156.226             
270          1700     140      156.548             
270          1700     160      156.427             
270          1700     180      157.279             
270          1700     200      157.786             
270          1700     220      157.851             
270          1700     240      158.471             
270          1700     260      159.081             
270          1700     280      159.547             
270          1700     300      159.619             
270          1700     320      160.332             
270          1700     340      160.13              
270          1700     360      160.785             
270          1700     380      160.592             
270          1700     400      160.7               
270          1700     420      160.729             
270          1700     440      161.037             
270          1700     460      160.658             
270          1700     480      161.205             
270          1700     500      161.51              
270          1700     520      160.453             
270          1700     540      161.269             
270          1700     560      161.077             
270          1700     580      160.882             
270          1700     600      160.743             
270          1700     620      161.027             
270          1700     640      160.698             
270          1700     660      160.61              
270          1700     680      160.497             
270          1700     700      160.225             
270          1700     720      160.316             
270          1700     740      160.085             
270          1700     760      160.304             
270          1700     780      159.939             
270          1700     800      159.841             
270          1700     820      159.914             
270          1700     840      159.721             
270          1700     860      159.983             
270          1700     880      159.86              
270          1700     900      159.908             
270          1700     920      160.219             
270          1700     940      159.985             
270          1700     960      159.869             
270          1700     980      159.742             
270          1700     1000     159.961             
270          1800     20       150.468             
270          1800     40       152.847             
270          1800     60       154.143             
270          1800     80       154.173             
270          1800     100      154.447             
270          1800     120      155.591             
270          1800     140      155.756             
270          1800     160      155.564             
270          1800     180      156.032             
270          1800     200      156.66              
270          1800     220      157.42              
270          1800     240      157.747             
270          1800     260      158.065             
270          1800     280      159.146             
270          1800     300      158.598             
